id,component,quality_standard,required_props,states,accessibility,responsive_notes,anti_patterns
1,PageLayout,Consistent padding max-width background from MUI theme tokens supports header slot content slot sidebar slot layout modes skin navbar floating detached blur contentWidth compact wide footer detached,title breadcrumbs children className sidebar navbar footer skin navbarType contentWidth,loading empty,landmark regions main wrapper skip link support,padding reduces on mobile sidebar becomes drawer on mobile navbar becomes static on mobile,Random margins per page inline background colors no max-width missing layout mode support
2,Card,MUI Card with CardHeader title extra CardContent children loading state bordered variant padding from theme skin aware default shadow bordered outline no shadow,title extra children className loading bordered skin,loading hover active,heading hierarchy aria-label if titled focusable actions,full-width on mobile padding scales down,Inconsistent padding hardcoded shadows inline borders no loading prop missing CardHeader structure
3,DataTable,TanStack react-table with typed columns rowKey required MUI Pagination shape rounded variant tonal loading state empty custom scroll x horizontal borders only header 56px body 50px first last padding 24px internal 16px checkbox column 51px,columns data pagination loading rowKey rowSelection scroll size,loading empty error selected filtered,aria-label on table sort headers marked row actions keyboard accessible responsive scroll,horizontal scroll on overflow stack columns on mobile via config drawer for mobile detail,Missing rowKey inline column definitions no empty state default pagination without config vertical borders dense cramped rows using MUI TablePagination instead of custom Pagination
4,FormSection,MUI Card with section title Divider grouped fields consistent spacing between fields responsive Grid spacing 6 section headers with font-section-token,title children layout className,default active error,fieldset legend semantics group labels error summary at top logical heading hierarchy,2-col on desktop 1-col on tablet mobile wrap to single column,No grouping random spacing inline grid styles missing labels missing section headers
5,StatusChip,MUI Chip with semantic color mapping from tokens consistent border-radius small size default text transforms consistent icon plus text never color alone variant tonal,text status className size icon,default pending success error warning,aria-label for status color not sole indicator readable contrast icon accompanies text,scale text on mobile if needed maintain touch target,Random hex colors inline styles hardcoded sizes inconsistent naming color-only indicators
6,OptionMenu,MUI Menu with IconButton trigger dropdown placement items as typed config disabled states confirm for destructive leftAlignMenu optional,items placement trigger disabledKeys,open closed disabled,trigger has aria-haspopup items keyboard navigable focus returns after close,full-width touch targets on mobile,Hardcoded menu items inline missing confirm on delete no disabled states
7,Drawer,MUI Drawer with consistent width from theme header body footer layout close button mask closable config width 300-400px mobile full-width anchor right manual reset on close or conditional unmount,title children footer width onClose open,open closed closing,aria-modal focus trap escape to close return focus to trigger,full-width on mobile <= 768px width 300 xs 400 sm desktop,Multiple drawers stacked no focus management hardcoded widths complex forms inside small drawer
8,Dialog,MUI Dialog centered consistent maxWidth per type DialogTitle DialogContent DialogActions mask closable keyboard escape maxWidth md for edit forms scroll body closeAfterTransition false for confirmations,title children footer width open onOk onCancel,open closing loading,aria-modal focus trap role dialog labeled by header,full-width on mobile with padding maxWidth md for complex forms,Complex multi-section forms inside dialog no focus trap missing onCancel hardcoded pixel widths small dialog for complex forms
9,SubmitBar,MUI CardActions or sticky footer primary Button variant contained plus secondary Button variant tonal loading state on primary cancel confirmation if dirty,onSubmit onCancel submitText cancelText loading dirty,idle loading disabled confirm,button labels clear focus order logical loading state announced primary action visually dominant,stack buttons vertically on mobile with full width primary on top,Buttons scattered in page no loading state missing cancel no dirty guard
10,SearchFilterBar,MUI TextField with InputAdornment icon collapse extra filters apply clear buttons sync with URL optional debounced 500ms global search page-size Select 10 25 50,onSearch onFilter onClear filters collapsed,default searching filtered empty,search input has aria-label clear button labeled focus stays after apply,wrap on mobile filters go to drawer page-size remains visible,crowded filters in header no clear missing search state inline input styles no debounce
11,CustomTextField,MUI TextField variant filled with styled overrides to look outlined label above input fullWidth default size small focus state 2px border primary-sm shadow start adornment for icon placeholder always provided helper text for errors slotProps inputLabel shrink true transform none,label placeholder fullWidth error helperText startAdornment slotProps,default focused error disabled,label associated with input via htmlFor aria-describedby for helper error text visible required indicators,full-width on mobile maintain 44px touch height,Floating labels without shrink inline border styles missing placeholder no error helper text no start adornment using outlined instead of filled with overrides
12,StatCard,MUI Card horizontal layout stats left avatar right OR vertical avatar top stats below Chip optional tonal variant border accent optional CardContent padding from theme,stats title avatarIcon avatarColor avatarSize avatarSkin chipText chipColor direction,default loading,semantic heading for stat value readable contrast icon accompanies color,stack vertically on mobile full width maintain padding,Random card sizes inconsistent avatar sizes missing loading state business logic inside card
13,Button,MUI Button with variant contained primary variant tonal secondary variant outlined neutral loading state via CircularProgress startIcon endIcon active scale transform 0.98 for tactile feedback,variant color children onClick loading disabled startIcon endIcon,idle hover active focus loading,aria-label if icon-only focus visible keyboard accessible touch target >= 44px,full-width on mobile stacked actions,Random colors per button inconsistent sizing missing loading state
14,Pagination,MUI Pagination with shape rounded variant tonal color primary showFirstButton showLastButton controlled page count from table state connected to TanStack table state,page count onChange color shape variant,default active disabled,aria-label for pagination navigation current page marked,scales to fit mobile wraps if needed,Hardcoded page numbers inline pagination missing table state connection using TablePagination for logic
15,Skeleton,MUI Skeleton for known-shape content loading instead of CircularProgress spinner,variant width height animation,default wave pulse,aria-hidden true reduce motion support,full-width on mobile maintain aspect ratio,Using CircularProgress for content loading causing layout shift no skeleton for cards tables stat values
16,ErrorBoundary,React ErrorBoundary at page or layout level with fallback UI retry button error ID,children fallback fallbackProps,default error,aria-live polite for error announcement,wraps full page content on mobile,No error boundaries one crash whitescreens entire app
