id,phase,step,trigger,action,output,anti_pattern
1,0,Diagnose workflow not model,UI drifts after 3+ screens,Stop treating each screen as a fresh prompt; enforce connected loop,Root cause identified as workflow gap not model quality,Blaming model and re-prompting without system lock
2,1,Detect tech stack,New project or first UI task in session,Read package.json lockfiles tsconfig next.config vite.config tailwind.config components.json,Stack profile: framework MUI version form lib table lib data fetching styling,Guessing stack or generating generic React without project conventions
3,1,Lock design system,Before first screen generation,Run design-system generator or load design-system/MASTER.md apply industry palette typography tokens,MASTER.md + optional pages/*.md overrides,Random hex spacing and typography per screen
4,1,Confirm stack profile with user,Stack ambiguous or multiple UI libraries,Present detected stack and ask confirmation only if conflicting signals,Confirmed stack profile saved in session memory,Auto-installing packages or switching libraries silently
5,2,Choose design path,Starting a new page or major section,Pick one: existing Figma/code reference OR canvas exploration OR direct implementation with locked system,Explicit design path chosen,Jumping straight to code without layout direction
6,2,Generate design variants,New screen with unclear layout direction,Produce 3 distinct concepts on canvas or in structured markdown wireframes; name each concept,Three comparable directions with tradeoffs,Single vague prompt hoping first output is correct
7,2,Refinement passes,Variant selected,Run v2 tighter layout v3 metric arrangement; keep versions comparable side by side,Locked screen design with rationale,Endless unstructured tweaks without comparison
8,2,Cross-screen consistency,Second related screen needed,Use locked screen as visual base; same spacing card rhythm chip style different content,Consistent admin language across portals,Re-prompting each screen from scratch
9,3,Build context graph,Before writing any new UI code,Inventory reusable components hooks stores tokens types constants services; note purpose props dependencies,Context graph note listing reuse targets per task,File-name fuzzy match only; rebuilding Button Card DataTable hooks
10,3,Attach indexed context,Complex generation task,Explicitly reference files folders and existing abstractions in plan or implementation,Reuse map: import X from Y use hook Z apply token T,Creating duplicate Button variants utility files filter hooks
11,4,Plan complex features,Business logic state across systems multi-step flows,Write editable plan: strategy files to touch reuse map states accessibility responsive breakpoints,Approved plan.md or inline plan block,Jumping to code for dashboard + auth + API without architecture
12,5,Implement from locked design,Design or plan approved,Generate code using context graph imports only; all loading empty error states; MUI + RHF + TanStack standards,Production-ready page files,Isolated code that looks fine but duplicates repo patterns
13,5,Run static verification,After code generation,npx tsc --noEmit and project lint on touched files; fix before claiming done,Clean type and lint on changed files,Shipping screenshot-quality code with TS errors
14,6,Start dev preview,Implementation complete,Run dev server; open localhost in browser MCP or ask user to preview,Running app URL confirmed,Reviewing code only without rendered UI check
15,6,Breakpoint verification,Preview open,Snapshot or screenshot at 375 768 1024 1440; check overflow alignment chip padding,Breakpoint evidence notes,Desktop-only review
16,6,Precise DOM-targeted fixes,Visual polish issues found,Use browser snapshot; attach exact element selector computed styles issue; implement surgical CSS/layout fix not vague make it better,Targeted fix with element context,Vague spacing feels off prompts without DOM reference
17,6,Flow testing,Navigation forms drawers,Ask browser to exercise sidebar filters submit empty states tablet misalignment,Flow test pass or issue list,Assuming components work without interaction test
18,6,DevTools context,Runtime bug or network issue,Pull console errors network failures from browser when debugging,Error-informed fix not guesswork,Fixing from description without console/network evidence
19,7,Sync design system,Token or pattern changed during implementation,Update design-system/MASTER.md or pages/*.md override,Design system reflects shipped UI,Drift between code and documented tokens
20,7,Pre-delivery gate,Before marking complete,Run pre-delivery checklist search.py domain pre-delivery-checklist,Checklist pass or explicit exceptions,Shipping without empty loading error states
