id,scenario,detection_method,frontend_approach,mock_strategy,real_time_approach,chart_integration,notes
1,Backend exists + API documented,Check for OpenAPI Swagger Postman collection package.json proxy config,Connect to real API immediately TanStack Query or SWR,None use real data,WebSocket STOMP SSE or polling via TanStack Query refetchInterval,Use real API data with Recharts ApexCharts MUI X-Charts bind to query data,Preferred path always use real data when backend available
2,Backend exists + API not documented,Check network tab for existing endpoints inspect backend routes package.json proxy,Explore existing endpoints first document as you go reverse engineer,MSW with discovered endpoints until backend stabilized,TanStack Query with polling fallback to WebSocket when available,Fetch data via discovered endpoints normalize for charts,Document API contract incrementally share with backend team
3,Backend in development not ready,Check for backend repo branch status CI/CD pipeline health staging environment,MSW or json-server with agreed contract use TanStack Query,MSW browser + server worker with shared mock contract between frontend backend,TanStack Query with short polling simulate real-time with MSW delay,MSW mock data structured for charts same shape as real API will be,Align mock contract with backend team ensure schema match
4,No backend frontend-first project,Check for backend repo absence no API docs no proxy config,json-server or localStorage mock with TanStack Query,json-server for REST or localStorage for simple persistence,Simulated polling with setInterval json-server watch mode,json-server db.json with chart data structure easy to swap to real API,Build as if real API exists use json-server as contract prototype
5,Backend exists but unstable,Check API health endpoint error rates response times,Implement retry logic circuit breaker fallback UI use TanStack Query,MSW fallback mode when backend down graceful degradation,TanStack Query with exponential backoff retry stale-while-revalidate,Show cached data with stale indicator fallback to last known good data,Resilience first never block UI on backend failure
6,Backend exists but no real-time support,Check for WebSocket SSE gRPC streaming endpoints,Long polling via TanStack Query refetchInterval optimistic updates,MSW with polling simulation for development,TanStack Query refetchInterval 5-30s based on data criticality,Update charts on each poll use transition animations for smooth updates,Evaluate if real-time is truly needed or polling is sufficient
7,Backend exists + full real-time,Check for WebSocket STOMP Socket.io SSE endpoints,Connect to real-time channel immediately use Zustand or TanStack Query for sync,MSW with Socket.io mock for development only,Native WebSocket Socket.io STOMP SSE based on backend stack,Recharts ApexCharts with live data streams real-time update animations,Best case scenario full real-time dashboard experience
8,Backend exists + GraphQL,Check for GraphQL endpoint playground schema,Apollo Client or TanStack Query with graphql-request fragment colocation,MSW with GraphQL request handler for development,TanStack Query with polling or GraphQL subscriptions when available,Chart data from single GraphQL query with nested fragments colocated,Use fragments for chart data shapes colocate with chart components
9,Microservices multiple backends,Check API gateway service mesh BFF pattern multiple OpenAPI specs,API aggregation layer BFF TanStack Query with multiple query sources,MSW with multiple request handlers for each service,Independent polling per service or unified WebSocket gateway,Aggregate data from multiple services into unified chart datasets,Use BFF pattern to simplify frontend avoid N+1 queries from UI
10,Third-party API integration,Check for external API keys rate limits documentation CORS policy,TanStack Query with external API endpoint proxy through backend if CORS issue,MSW with third-party response shape for development caching strategy,TanStack Query with refetchInterval respect rate limits cache aggressively,Normalize third-party data to internal chart schema adapter pattern,Always proxy third-party APIs through backend never expose keys in frontend
